epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3465,1.84901,3.32922,1.962,0.85188,0.07471,0.09686,0.03886,1.88965,3.72022,2.01355,0.000469718,0.000469718,0.000469718
2,93.9021,1.77335,2.96893,1.89819,0.41392,0.34339,0.17968,0.07802,2.00953,3.74085,2.16628,0.000936685,0.000936685,0.000936685
3,140.258,1.8603,2.87222,1.92697,0.30125,0.25648,0.15012,0.07248,2.00437,3.80469,2.17562,0.00139422,0.00139422,0.00139422
4,185.351,1.85501,2.8566,1.96411,0.29201,0.3137,0.22343,0.10606,1.99388,4.42921,2.24243,0.00138656,0.00138656,0.00138656
5,230.855,1.8458,2.79221,2.02848,0.78141,0.13793,0.10815,0.0346,2.3202,5.16505,2.46613,0.00137241,0.00137241,0.00137241
6,275.944,1.82387,2.7426,1.96573,0.811,0.15517,0.16587,0.06268,1.91387,2.78571,2.09413,0.00135826,0.00135826,0.00135826
7,321.191,1.78303,2.55342,1.88669,0.8983,0.14368,0.24128,0.09951,1.90252,3.70951,2.02921,0.00134412,0.00134412,0.00134412
8,367.8,1.77186,2.52528,1.91174,0.2079,0.29282,0.19163,0.09123,1.85549,2.92534,1.96798,0.00132997,0.00132997,0.00132997
9,416.158,1.79472,2.5707,1.93367,0.11347,0.4842,0.18347,0.06649,1.96983,3.24386,2.14646,0.00131582,0.00131582,0.00131582
10,465.37,1.79652,2.50823,1.96519,0.52698,0.31753,0.22607,0.10768,1.85089,2.36044,1.95372,0.00130168,0.00130168,0.00130168
11,514.413,1.6717,2.43255,1.83266,0.7931,0.21264,0.21711,0.10099,1.87269,2.7361,1.99832,0.00128753,0.00128753,0.00128753
12,563.986,1.71289,2.35074,1.84008,0.45973,0.30603,0.31218,0.15672,1.81679,2.2741,1.9011,0.00127338,0.00127338,0.00127338
13,611.832,1.68934,2.26094,1.80902,0.57118,0.29119,0.2969,0.13006,1.64279,2.41518,1.80942,0.00125923,0.00125923,0.00125923
14,666.464,1.72268,2.31215,1.83364,0.17624,0.47605,0.24619,0.10363,1.82146,2.48396,1.90906,0.00124509,0.00124509,0.00124509
15,720.302,1.66385,2.28171,1.79258,0.43542,0.42864,0.40937,0.20195,1.70042,2.37935,1.75058,0.00123094,0.00123094,0.00123094
16,773.163,1.6697,2.21243,1.77137,0.19537,0.50151,0.34155,0.17943,1.72561,2.22144,1.80768,0.00121679,0.00121679,0.00121679
17,824.268,1.66449,2.20957,1.8068,0.37617,0.51197,0.41648,0.19757,1.70158,1.96231,1.73582,0.00120265,0.00120265,0.00120265
18,876.705,1.63731,2.11267,1.78314,0.88519,0.21648,0.35709,0.16161,1.63606,2.17009,1.76189,0.0011885,0.0011885,0.0011885
19,927.482,1.62211,2.07683,1.75551,0.33226,0.48108,0.37838,0.17697,1.75214,2.11805,1.77593,0.00117435,0.00117435,0.00117435
20,979.67,1.63465,2.11639,1.80548,0.46695,0.43008,0.40114,0.18753,1.72592,1.89153,1.75213,0.00116021,0.00116021,0.00116021
21,1035.26,1.62228,2.13051,1.75659,0.30902,0.60677,0.44029,0.20737,1.72526,1.83549,1.77592,0.00114606,0.00114606,0.00114606
22,1087.67,1.59263,2.05168,1.73271,0.57932,0.53566,0.50383,0.23144,1.64042,1.8487,1.70719,0.00113191,0.00113191,0.00113191
23,1140.73,1.60588,2.06841,1.76328,0.53274,0.50862,0.51717,0.27272,1.54313,1.86429,1.65641,0.00111776,0.00111776,0.00111776
24,1191.58,1.63855,1.9841,1.7656,0.58711,0.65757,0.51634,0.29561,1.6139,1.72633,1.67353,0.00110362,0.00110362,0.00110362
25,1243.51,1.62117,2.07578,1.74257,0.57901,0.51437,0.51488,0.30807,1.47174,1.84224,1.61446,0.00108947,0.00108947,0.00108947
26,1297.47,1.5962,2.05667,1.78023,0.62973,0.2976,0.46152,0.21757,1.87682,1.91057,1.84273,0.00107532,0.00107532,0.00107532
