epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7518,3.25486,4.8922,3.38792,0,0,0,0,1.88256,6.16541,3.68779,0.000238167,0.000238167,0.000238167
2,129.97,3.06622,4.91954,3.23973,0,0,0,0,1.88256,6.16541,3.68779,0.000705658,0.000705658,0.000705658
3,181.154,3.14709,6.13899,3.24757,0,0,0,0,1.88256,6.16541,3.68779,0.00116136,0.00116136,0.00116136
4,238.712,2.77417,5.91428,3.20846,0,0,0,0,1.88256,6.16541,3.68779,0.00137595,0.00137595,0.00137595
5,260.326,2.82746,6.45734,3.49616,0,0,0,0,1.88256,6.16541,3.68779,0.00135826,0.00135826,0.00135826
6,280.625,2.49567,6.27613,2.97064,0,0,0,0,1.88256,6.16541,3.68779,0.00134058,0.00134058,0.00134058
7,307.034,3.22617,6.67015,3.27545,0,0,0,0,1.88256,6.16541,3.68779,0.0013229,0.0013229,0.0013229
8,380.75,2.98572,5.31474,3.01836,0,0,0,0,1.88263,6.16935,3.6879,0.00130521,0.00130521,0.00130521
9,413.914,3.23032,5.55598,3.22401,0,0,0,0,1.88263,6.16935,3.6879,0.00128753,0.00128753,0.00128753
10,445.99,3.16236,7.09212,2.89976,0,0,0,0,1.88263,6.16935,3.6879,0.00126985,0.00126985,0.00126985
